Name,Team,Deviation,Over Percentage,Under Percentage,Over w/ Push,Under w/ Push,Games,Insight,Line,Type,Opponent,Rank,StatPerGame,Player Link
Dontrell Hilliard,TEN,0.36,50.0%,50.0%,50.0%,50.0%,6,N/A,24.5,Rush Yards,MIA,7,109.64,https://www.pro-football-reference.com/players/H/HillDo00.htm,https://www.pro-football-reference.com/teams/oti/2021.htm
Deebo Samuel,SFO,0.04,42.86%,57.14%,42.86%,57.14%,14,N/A,22.5,Rush Yards,HOU,30,151.36,https://www.pro-football-reference.com/players/S/SamuDe00.htm,https://www.pro-football-reference.com/teams/sfo/2021.htm
Justin Herbert,LAC,0.3,60.0%,40.0%,60.0%,40.0%,15,N/A,13.5,Rush Yards,DEN,13,118.07,https://www.pro-football-reference.com/players/H/HerbJu00.htm,https://www.pro-football-reference.com/teams/sdg/2021.htm
Taysom Hill,NOR,0.44,20.0%,80.0%,20.0%,80.0%,10,N/A,45.5,Rush Yards,CAR,21,126.93,https://www.pro-football-reference.com/players/H/HillTa00.htm,https://www.pro-football-reference.com/teams/nor/2021.htm
Alvin Kamara,NOR,0.14,54.55%,45.45%,54.55%,45.45%,11,N/A,60.5,Rush Yards,CAR,21,126.93,https://www.pro-football-reference.com/players/K/KamaAl00.htm,https://www.pro-football-reference.com/teams/nor/2021.htm
Mark Ingram,NOR,0.5,64.29%,35.71%,64.29%,35.71%,14,N/A,26.5,Rush Yards,CAR,21,126.93,https://www.pro-football-reference.com/players/I/IngrMa01.htm,https://www.pro-football-reference.com/teams/nor/2021.htm
Kyler Murray,ARI,0.05,41.67%,58.33%,41.67%,58.33%,12,N/A,27.5,Rush Yards,DAL,12,117.29,https://www.pro-football-reference.com/players/M/MurrKy00.htm,https://www.pro-football-reference.com/teams/crd/2021.htm
Ezekiel Elliott,DAL,0.32,53.33%,46.67%,53.33%,46.67%,15,N/A,49.5,Rush Yards,ARI,15,121.79,https://www.pro-football-reference.com/players/E/ElliEz00.htm,https://www.pro-football-reference.com/teams/dal/2021.htm

Tyreek Hill,KAN,0.11,53.33%,46.67%,53.33%,46.67%,15,N/A,73.5,Receiving Yards,CIN,29,270.86,https://www.pro-football-reference.com/players/H/HillTy00.htm,https://www.pro-football-reference.com/teams/kan/2021.htm
Tee Higgins,CIN,0.21,46.15%,53.85%,46.15%,53.85%,13,N/A,68.5,Receiving Yards,KAN,25,263.21,https://www.pro-football-reference.com/players/H/HiggTe00.htm,https://www.pro-football-reference.com/teams/cin/2021.htm
Travis Kelce,KAN,0.16,50.0%,50.0%,50.0%,50.0%,14,N/A,68.5,Receiving Yards,CIN,29,270.86,https://www.pro-football-reference.com/players/K/KelcTr00.htm,https://www.pro-football-reference.com/teams/kan/2021.htm
Ja'Marr Chase,CIN,0.25,53.33%,46.67%,53.33%,46.67%,15,N/A,64.5,Receiving Yards,KAN,25,263.21,https://www.pro-football-reference.com/players/C/ChasJa00.htm,https://www.pro-football-reference.com/teams/cin/2021.htm
Joe Mixon,CIN,0.22,33.33%,66.67%,33.33%,66.67%,15,N/A,12.5,Receiving Yards,KAN,25,263.21,https://www.pro-football-reference.com/players/M/MixoJo00.htm,https://www.pro-football-reference.com/teams/cin/2021.htm
Tyler Boyd,CIN,0.19,53.33%,46.67%,53.33%,46.67%,15,N/A,46.5,Receiving Yards,KAN,25,263.21,https://www.pro-football-reference.com/players/B/BoydTy00.htm,https://www.pro-football-reference.com/teams/cin/2021.htm
C.J. Uzomah,CIN,0.15,40.0%,60.0%,40.0%,60.0%,15,N/A,26.5,Receiving Yards,KAN,25,263.21,https://www.pro-football-reference.com/players/U/UzomC.00.htm,https://www.pro-football-reference.com/teams/cin/2021.htm
Kenny Golladay,NYG,0.2,58.33%,41.67%,58.33%,41.67%,12,N/A,35.5,Receiving Yards,CHI,4,216.86,https://www.pro-football-reference.com/players/G/GollKe00.htm,https://www.pro-football-reference.com/teams/nyg/2021.htm
Darnell Mooney,CHI,0.21,46.67%,53.33%,46.67%,53.33%,15,N/A,49.5,Receiving Yards,NYG,18,255.57,https://www.pro-football-reference.com/players/M/MoonDa00.htm,https://www.pro-football-reference.com/teams/chi/2021.htm
