"Name","Team","Prop Name","Prop Type","Prop Line","Prop Odds","Projection","Expected Win","Expected ROI","Note"
"Julio Jones","TEN","Receiving Yards","Over","52.50","100.00","56.99","52 %","3.0","Shop Odds @ OddsShopper"
"CeeDee Lamb","DAL","Receiving Yards","Under","66.50","-110.00","66.20","54 %","3.0","Shop Odds @ OddsShopper"
"Cordarrelle Patterson","ATL","Receiving Yards","Under","30.50","-130.00","30.96","58 %","3.0","Shop Odds @ OddsShopper"
"Noah Fant","DEN","Receiving Yards","Under","34.50","-105.00","36.62","53 %","3.0","Shop Odds @ OddsShopper"
"Davante Adams","GB","Receiving Yards","Under","94.50","-114.00","94.52","55 %","3.0","Shop Odds @ OddsShopper"
"Donald Parham Jr.","LAC","Receiving Yards","Under","11.50","-120.00","14.11","56 %","3.0","Shop Odds @ OddsShopper"
"Brandin Cooks","HOU","Receiving Yards","Over","59.50","-114.00","67.74","54 %","2.0","Shop Odds @ OddsShopper"
"Dalton Schultz","DAL","Receiving Yards","Over","35.50","-115.00","40.98","55 %","2.0","Shop Odds @ OddsShopper"
"Brandon Zylstra","CAR","Receiving Yards","Over","19.50","-115.00","26.63","55 %","2.0","Shop Odds @ OddsShopper"
"Joshua Palmer","LAC","Receiving Yards","Over","13.50","-115.00","20.88","55 %","2.0","Shop Odds @ OddsShopper"
"Saquon Barkley","NYG","Receiving Yards","Under","23.50","-118.00","26.80","55 %","1.0","Shop Odds @ OddsShopper"
"Alvin Kamara","NO","Receiving Yards","Under","30.50","105.00","36.39","49 %","1.0","Shop Odds @ OddsShopper"
"Demarcus Robinson","KC","Receiving Yards","Under","15.50","-115.00","17.44","54 %","1.0","Shop Odds @ OddsShopper"
"Nico Collins","HOU","Receiving Yards","Over","28.50","-116.00","34.81","54 %","0.0","Shop Odds @ OddsShopper"
"Laquon Treadwell","JAX","Receiving Yards","Under","38.50","-114.00","39.95","53 %","0.0","Shop Odds @ OddsShopper"
"Evan Engram","NYG","Receiving Yards","Under","28.50","-116.00","32.00","54 %","0.0","Shop Odds @ OddsShopper"
"George Kittle","SF","Receiving Yards","Under","71.50","-115.00","71.09","53 %","0.0","Shop Odds @ OddsShopper"
"Tyler Boyd","CIN","Receiving Yards","Under","45.50","-120.00","45.50","55 %","0.0","Shop Odds @ OddsShopper"
"Joe Mixon","CIN","Receiving Yards","Under","11.50","-110.00","14.24","53 %","0.0","Shop Odds @ OddsShopper"
"Tre'Quan Smith","NO","Receiving Yards","Under","35.50","-110.00","39.42","53 %","0.0","Shop Odds @ OddsShopper"
"A.J. Green","ARI","Receiving Yards","Under","52.50","-115.00","55.27","53 %","-1.0","Shop Odds @ OddsShopper"
"Laquon Treadwell","JAX","Receiving Yards","Over","35.50","-110.00","39.95","52 %","-1.0","Shop Odds @ OddsShopper"
"Kenny Golladay","NYG","Receiving Yards","Under","40.50","-115.00","43.09","53 %","-1.0","Shop Odds @ OddsShopper"
